uid,profile,anime_uid,rating,scores
255938,DesolatePsyche,34096,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '10', 'Character': '9', 'Enjoyment': '8'}"
259117,baekbeans,34599,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
253664,skrn,28891,7,"{'Overall': '7', 'Story': '7', 'Animation': '9', 'Sound': '8', 'Character': '8', 'Enjoyment': '8'}"
8254,edgewalker00,2904,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
291149,aManOfCulture99,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '8', 'Sound': '9', 'Character': '10', 'Enjoyment': '10'}"
10046,eneri,2904,10,"{'Overall': '10', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
247454,Waffle_Empress,16664,6,"{'Overall': '6', 'Story': '6', 'Animation': '9', 'Sound': '8', 'Character': '6', 'Enjoyment': '6'}"
140903,NIGGER_BONER,2904,8,"{'Overall': '8', 'Story': '7', 'Animation': '9', 'Sound': '0', 'Character': '0', 'Enjoyment': '9'}"
23791,jchang,2904,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
25115,shadowsplat,4181,4,"{'Overall': '4', 'Story': '8', 'Animation': '9', 'Sound': '8', 'Character': '5', 'Enjoyment': '4'}"
116775,angelsreview,4672,8,"{'Overall': '8', 'Story': '6', 'Animation': '7', 'Sound': '7', 'Character': '6', 'Enjoyment': '7'}"
280224,CalebTheMenace,4181,9,"{'Overall': '9', 'Story': '10', 'Animation': '8', 'Sound': '9', 'Character': '10', 'Enjoyment': '10'}"
181043,Kiethol,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '10'}"
259091,Eanki,34599,8,"{'Overall': '8', 'Story': '0', 'Animation': '0', 'Sound': '0', 'Character': '0', 'Enjoyment': '0'}"
259195,NekoKyupi,34599,9,"{'Overall': '9', 'Story': '9', 'Animation': '10', 'Sound': '9', 'Character': '9', 'Enjoyment': '10'}"
210404,12sed,5114,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
262977,OVERPOWERED99,30276,8,"{'Overall': '8', 'Story': '7', 'Animation': '10', 'Sound': '8', 'Character': '8', 'Enjoyment': '8'}"
262994,MrAnimeCrunch,30276,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
214997,JoJo_Stalin,30276,7,"{'Overall': '7', 'Story': '7', 'Animation': '8', 'Sound': '7', 'Character': '8', 'Enjoyment': '9'}"
173551,Kaishuu,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
249034,Rigas,4181,5,"{'Overall': '5', 'Story': '4', 'Animation': '7', 'Sound': '6', 'Character': '5', 'Enjoyment': '5'}"
277693,BenBaneki,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '8', 'Sound': '10', 'Character': '8', 'Enjoyment': '10'}"
42799,SakuraSan628,8038,10,"{'Overall': '10', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
86265,blackfaith89,4181,9,"{'Overall': '9', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
19642,Leyvon,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
89373,Sime3134,4181,10,"{'Overall': '10', 'Story': '9', 'Animation': '9', 'Sound': '9', 'Character': '10', 'Enjoyment': '10'}"
177543,desinoh,4181,9,"{'Overall': '9', 'Story': '9', 'Animation': '7', 'Sound': '8', 'Character': '10', 'Enjoyment': '10'}"
87849,GinKagu,4181,9,"{'Overall': '9', 'Story': '10', 'Animation': '8', 'Sound': '7', 'Character': '9', 'Enjoyment': '9'}"
88705,Itaku,4181,5,"{'Overall': '5', 'Story': '8', 'Animation': '7', 'Sound': '7', 'Character': '8', 'Enjoyment': '3'}"
19654,Lucryllin,4181,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
307212,SieghartTheMage,1253,8,"{'Overall': '8', 'Story': '8', 'Animation': '8', 'Sound': '8', 'Character': '6', 'Enjoyment': '9'}"
303667,ggultra2764,1425,7,"{'Overall': '7', 'Story': '7', 'Animation': '6', 'Sound': '7', 'Character': '6', 'Enjoyment': '7'}"
147919,0Seru0,1425,7,"{'Overall': '7', 'Story': '8', 'Animation': '6', 'Sound': '6', 'Character': '8', 'Enjoyment': '8'}"
189368,BowlingJD,1425,6,"{'Overall': '6', 'Story': '5', 'Animation': '7', 'Sound': '7', 'Character': '7', 'Enjoyment': '6'}"
125071,Arbogast,1425,6,"{'Overall': '6', 'Story': '6', 'Animation': '5', 'Sound': '3', 'Character': '10', 'Enjoyment': '6'}"
96877,gwern,7588,7,"{'Overall': '7', 'Story': '7', 'Animation': '6', 'Sound': '6', 'Character': '8', 'Enjoyment': '8'}"
136093,greatyu,7588,7,"{'Overall': '7', 'Story': '8', 'Animation': '7', 'Sound': '7', 'Character': '8', 'Enjoyment': '7'}"
29323,Slushpuppy282,7588,7,"{'Overall': '7', 'Story': '7', 'Animation': '6', 'Sound': '9', 'Character': '6', 'Enjoyment': '0'}"
291833,mattpointon77,7588,9,"{'Overall': '9', 'Story': '10', 'Animation': '6', 'Sound': '6', 'Character': '10', 'Enjoyment': '9'}"
256076,SamuraiSteve,7588,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
203476,yolerMit,7588,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '8', 'Character': '10', 'Enjoyment': '10'}"
322434,Abeyant,7588,10,"{'Overall': '10', 'Story': '9', 'Animation': '10', 'Sound': '10', 'Character': '9', 'Enjoyment': '10'}"
61381,HybridMedia,7588,7,"{'Overall': '7', 'Story': '8', 'Animation': '8', 'Sound': '6', 'Character': '8', 'Enjoyment': '5'}"
198178,kyojin13,7588,9,"{'Overall': '9', 'Story': '8', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '8'}"
280474,eyerok,7588,9,"{'Overall': '9', 'Story': '8', 'Animation': '8', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
305660,patrickRos,7588,7,"{'Overall': '7', 'Story': '7', 'Animation': '5', 'Sound': '6', 'Character': '9', 'Enjoyment': '7'}"
114315,shadowfireflame,7588,7,"{'Overall': '7', 'Story': '7', 'Animation': '6', 'Sound': '8', 'Character': '9', 'Enjoyment': '8'}"
250460,SerpentineJ,1425,10,"{'Overall': '10', 'Story': '10', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
122611,tinypinkghostie,1425,9,"{'Overall': '9', 'Story': '7', 'Animation': '6', 'Sound': '10', 'Character': '9', 'Enjoyment': '9'}"
58169,stonnyfor,1425,9,"{'Overall': '9', 'Story': '7', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '8'}"
294240,BabyGirl06301,20767,7,"{'Overall': '7', 'Story': '7', 'Animation': '7', 'Sound': '10', 'Character': '10', 'Enjoyment': '8'}"
149021,ToastytheBaker,20767,8,"{'Overall': '8', 'Story': '7', 'Animation': '8', 'Sound': '7', 'Character': '8', 'Enjoyment': '9'}"
158053,ImTheRhetorician,20767,7,"{'Overall': '7', 'Story': '7', 'Animation': '10', 'Sound': '8', 'Character': '9', 'Enjoyment': '7'}"
137163,zabadoh,20767,7,"{'Overall': '7', 'Story': '7', 'Animation': '6', 'Sound': '6', 'Character': '8', 'Enjoyment': '8'}"
208674,Aphyxia,20767,4,"{'Overall': '4', 'Story': '2', 'Animation': '8', 'Sound': '7', 'Character': '7', 'Enjoyment': '3'}"
282887,Eoussama,20767,8,"{'Overall': '8', 'Story': '7', 'Animation': '8', 'Sound': '8', 'Character': '8', 'Enjoyment': '9'}"
142559,Shirayukishi,20767,8,"{'Overall': '8', 'Story': '7', 'Animation': '8', 'Sound': '8', 'Character': '8', 'Enjoyment': '9'}"
156569,Creeperface,20767,9,"{'Overall': '9', 'Story': '8', 'Animation': '9', 'Sound': '9', 'Character': '9', 'Enjoyment': '10'}"
30968,ParaParaJMo,1253,9,"{'Overall': '9', 'Story': '9', 'Animation': '9', 'Sound': '9', 'Character': '9', 'Enjoyment': '9'}"
292234,ChouEritto,1253,5,"{'Overall': '5', 'Story': '4', 'Animation': '7', 'Sound': '7', 'Character': '6', 'Enjoyment': '5'}"
33404,Yakarin,7588,10,"{'Overall': '10', 'Story': '10', 'Animation': '9', 'Sound': '10', 'Character': '10', 'Enjoyment': '10'}"
73395,Paulwillson26,7588,9,"{'Overall': '9', 'Story': '8', 'Animation': '10', 'Sound': '10', 'Character': '10', 'Enjoyment': '9'}"
